date,VaR_95,VaR_99
2014-07-31,-2.7594042374470917,-4.849260166705941
2014-08-01,-3.2437531927859364,-5.700434512253539
2014-08-04,-3.103411615816061,-5.453804167305479
2014-08-05,-2.998531000022756,-5.2694914140219655
2014-08-06,-2.901417291098022,-5.098827893998719
2014-08-07,-2.7955046661866896,-4.912701531589072
2014-08-08,-2.7288177495822965,-4.795508768041928
2014-08-11,-2.6437171959425774,-4.64595665844906
2014-08-12,-2.6967247274640918,-4.7391098498714594
2014-08-13,-2.6144506731925903,-4.594524910587135
2014-08-14,-2.6736760248244,-4.698605035793071
2014-08-15,-2.596144892064035,-4.562355105945076
2014-08-18,-2.5413342937505567,-4.466033281288907
2014-08-19,-2.590273576334524,-4.552037104288454
2014-08-20,-2.6663924690623393,-4.685805223301076
2014-08-21,-2.58751257665367,-4.54718504035706
2014-08-22,-2.520336579288443,-4.429132786989747
2014-08-25,-2.5000769552679465,-4.393529381580062
2014-08-26,-2.4465155643012335,-4.299402861020487
2014-08-27,-2.450943791812221,-4.307184840545896
2014-08-28,-2.521875259056241,-4.431836797662067
2014-08-29,-2.463717877341595,-4.329633477567993
2014-09-02,-2.416320269674276,-4.246338928788534
2014-09-03,-2.418640565914959,-4.2504165191546734
2014-09-04,-3.813997356037773,-6.702557459166172
2014-09-05,-3.6439801092953066,-6.403776348702989
2014-09-08,-3.4785598896797967,-6.113073859062914
2014-09-09,-3.328865375048012,-5.85000705749495
2014-09-10,-3.178371590605588,-5.585535653004881
2014-09-11,-3.6228103836512293,-6.366573569236037
2014-09-12,-3.4280769166153227,-6.0243572197767
2014-09-15,-3.250616572812571,-5.712495925699404
2014-09-16,-3.0949577832837303,-5.438947759969901
2014-09-17,-3.0140111307163795,-5.296695540234891
2014-09-18,-2.9176107973909278,-5.127285676283687
2014-09-19,-2.804911404959381,-4.929232536002989
2014-09-22,-2.77611191546196,-4.878621532603749
2014-09-23,-2.6816074487940207,-4.712543384440648
2014-09-24,-2.781224399163004,-4.887605994984421
2014-09-25,-2.764331143685014,-4.857918503110742
2014-09-26,-3.7954870096582827,-6.670028160213933
2014-09-29,-4.046981483345114,-7.111993899356425
2014-09-30,-3.828206295403533,-6.727527647564979
2014-10-01,-3.6208999715315016,-6.363216291868528
2014-10-02,-3.600054131184433,-6.326582694708414
2014-10-03,-3.4272807936299436,-6.022958146952065
2014-10-06,-3.2585727332456047,-5.726477745160378
2014-10-07,-3.101440578895384,-5.450340350479789
2014-10-08,-3.0356744590134386,-5.3347657561038035
2014-10-09,-3.195186530074191,-5.615085515639762
2014-10-10,-3.046532207138063,-5.353846702913387
2014-10-13,-2.92721564747897,-5.144164833134665
2014-10-14,-2.8944071838947147,-5.086508628425369
2014-10-15,-2.89278505103408,-5.083657960821315
2014-10-16,-2.923843140181882,-5.1382381316112875
2014-10-17,-2.968161133407594,-5.216120696369765
2014-10-20,-2.992909885714077,-5.25961310574815
2014-10-21,-3.1794497804578534,-5.587430418197957
2014-10-22,-3.5010243479365237,-6.152551946801069
2014-10-23,-3.325227590338001,-5.843614168678621
2014-10-24,-3.3569574792441603,-5.8993749319182225
2014-10-27,-3.1924890910897594,-5.61034515058494
2014-10-28,-3.0459907095937,-5.352895098057305
2014-10-29,-3.0750780793128185,-5.404012009968576
